batch_id,material_id,manufacturing_site,manufacture_date,expiry_date,quantity,batch_status
BAT-0000031,MAT-00047,ES_BAR_01,2023-04-04,2024-10-04,42535,QUARANTINE
BAT-0000032,MAT-00247,ES_BAR_01,2025-02-21,2026-08-21,14733,RELEASED
BAT-0000033,MAT-00107,HU_BUD_01,2025-02-05,2026-08-05,37422,RELEASED
BAT-0000034,MAT-00154,HU_BUD_01,2023-06-14,2024-12-14,49397,QUARANTINE
BAT-0000035,MAT-00250,HU_BUD_01,2023-07-05,2026-07-05,37789,RELEASED
BAT-0000036,MAT-00315,FR_LYON_02,2025-10-20,2026-04-20,41900,RELEASED
BAT-0000037,MAT-00464,FR_LYON_02,2024-11-20,2025-11-20,40122,QUARANTINE
BAT-0000038,MAT-00415,FR_LYON_01,2024-07-03,2025-07-03,31952,REWORK
BAT-0000039,MAT-00215,ES_BAR_01,2025-07-31,2027-01-31,30143,RELEASED
BAT-0000040,MAT-00137,HU_BUD_01,2025-02-27,2025-08-27,21160,RELEASED
BAT-0000041,MAT-00187,FR_LYON_01,2023-10-08,2025-10-08,21499,RELEASED
BAT-0000042,MAT-00408,FR_LYON_02,2024-08-12,2026-08-12,12037,RELEASED
BAT-0000043,MAT-00223,FR_LYON_02,2024-04-17,2027-04-17,41875,RELEASED
BAT-0000044,MAT-00093,ES_BAR_01,2025-03-17,2026-03-17,14094,RELEASED
BAT-0000045,MAT-00353,FR_LYON_02,2024-06-23,2026-06-23,25556,REJECTED
BAT-0000046,MAT-00096,ES_BAR_01,2025-05-06,2028-05-06,23865,RELEASED
BAT-0000047,MAT-00427,HU_BUD_01,2024-03-18,2027-03-18,49735,REWORK
BAT-0000048,MAT-00049,FR_LYON_02,2023-01-14,2025-01-14,3460,RELEASED
BAT-0000049,MAT-00225,HU_BUD_01,2023-04-20,2026-04-20,42586,REWORK
BAT-0000050,MAT-00005,HU_BUD_01,2023-03-29,2023-09-29,18924,RELEASED
BAT-0000051,MAT-00371,FR_LYON_02,2023-06-06,2023-12-06,44717,RELEASED
BAT-0000052,MAT-00219,HU_BUD_01,2025-02-11,2026-02-11,23608,RELEASED
BAT-0000053,MAT-00136,ES_BAR_01,2025-09-13,2026-03-13,36549,QUARANTINE
BAT-0000054,MAT-00095,FR_LYON_01,2023-12-11,2024-12-11,21409,REJECTED
BAT-0000055,MAT-00213,HU_BUD_01,2025-08-11,2026-02-11,41696,RELEASED
BAT-0000056,MAT-00113,FR_LYON_01,2024-10-24,2027-10-24,13960,RELEASED
BAT-0000057,MAT-00397,HU_BUD_01,2025-09-20,2026-03-20,6617,RELEASED
BAT-0000058,MAT-00037,FR_LYON_02,2024-06-27,2025-12-27,26172,RELEASED
BAT-0000059,MAT-00406,FR_LYON_02,2024-02-21,2026-02-21,37673,RELEASED
BAT-0000060,MAT-00322,HU_BUD_01,2024-02-05,2026-02-05,24525,RELEASED
BAT-0000061,MAT-00105,HU_BUD_01,2023-06-29,2025-06-29,1201,RELEASED
BAT-0000062,MAT-00420,FR_LYON_02,2023-06-22,2023-12-22,38017,RELEASED
BAT-0000063,MAT-00445,FR_LYON_01,2025-07-08,2027-07-08,5175,RELEASED
BAT-0000064,MAT-00063,FR_LYON_01,2024-07-13,2027-07-13,34467,RELEASED
BAT-0000065,MAT-00255,FR_LYON_01,2024-08-01,2026-02-01,24087,RELEASED
BAT-0000066,MAT-00045,FR_LYON_02,2025-11-17,2028-11-17,39368,RELEASED
BAT-0000067,MAT-00059,HU_BUD_01,2025-09-23,2026-03-23,13365,QUARANTINE
BAT-0000068,MAT-00053,HU_BUD_01,2023-01-31,2023-07-31,23513,QUARANTINE
BAT-0000069,MAT-00297,ES_BAR_01,2023-11-04,2025-05-04,43772,RELEASED
BAT-0000070,MAT-00012,HU_BUD_01,2025-06-11,2025-12-11,40246,RELEASED
BAT-0000071,MAT-00011,HU_BUD_01,2024-06-03,2025-12-03,35399,RELEASED
BAT-0000072,MAT-00183,HU_BUD_01,2024-03-21,2024-09-21,8288,REJECTED
BAT-0000073,MAT-00204,ES_BAR_01,2024-06-02,2025-12-02,5418,RELEASED
BAT-0000074,MAT-00407,FR_LYON_02,2025-03-31,2027-03-31,21766,RELEASED
BAT-0000075,MAT-00230,ES_BAR_01,2025-04-29,2027-04-29,23516,RELEASED
BAT-0000076,MAT-00096,FR_LYON_01,2023-06-13,2025-06-13,28473,RELEASED
BAT-0000077,MAT-00114,ES_BAR_01,2024-06-28,2026-06-28,41116,RELEASED
BAT-0000078,MAT-00497,ES_BAR_01,2024-02-22,2025-08-22,7198,QUARANTINE
BAT-0000079,MAT-00317,HU_BUD_01,2023-03-29,2024-09-29,43423,QUARANTINE
BAT-0000080,MAT-00198,HU_BUD_01,2025-09-28,2026-03-28,41474,QUARANTINE
BAT-0000081,MAT-00087,ES_BAR_01,2024-11-15,2026-05-15,40985,RELEASED
BAT-0000082,MAT-00080,HU_BUD_01,2023-08-16,2026-08-16,600,RELEASED
BAT-0000083,MAT-00325,FR_LYON_02,2024-03-08,2025-09-08,40350,QUARANTINE
BAT-0000084,MAT-00005,FR_LYON_02,2025-08-07,2027-02-07,46712,REJECTED
BAT-0000085,MAT-00457,FR_LYON_01,2023-05-28,2024-11-28,16863,RELEASED
BAT-0000086,MAT-00118,FR_LYON_01,2025-06-05,2026-12-05,17321,RELEASED
BAT-0000087,MAT-00226,FR_LYON_01,2025-01-02,2025-07-02,25098,RELEASED
BAT-0000088,MAT-00367,FR_LYON_02,2022-12-27,2024-06-27,49489,REWORK
BAT-0000089,MAT-00191,HU_BUD_01,2023-12-04,2024-06-04,43990,REJECTED
BAT-0000090,MAT-00303,FR_LYON_01,2025-04-29,2026-04-29,8462,RELEASED
BAT-0000091,MAT-00146,ES_BAR_01,2024-06-01,2024-12-01,25972,RELEASED
BAT-0000092,MAT-00235,ES_BAR_01,2024-03-04,2027-03-04,1371,RELEASED
BAT-0000093,MAT-00126,FR_LYON_02,2024-01-19,2024-07-19,47685,RELEASED
BAT-0000094,MAT-00484,HU_BUD_01,2025-11-13,2027-11-13,21994,REJECTED
BAT-0000095,MAT-00269,FR_LYON_02,2024-08-01,2025-08-01,28162,RELEASED
BAT-0000096,MAT-00267,HU_BUD_01,2024-02-06,2025-02-06,41351,RELEASED
BAT-0000097,MAT-00118,HU_BUD_01,2025-06-21,2026-12-21,20968,REJECTED
BAT-0000098,MAT-00450,HU_BUD_01,2024-02-07,2024-08-07,24824,RELEASED
BAT-0000099,MAT-00149,ES_BAR_01,2024-10-03,2026-04-03,764,RELEASED
BAT-0000100,MAT-00437,FR_LYON_01,2024-03-01,2024-09-01,2207,RELEASED
BAT-0000101,MAT-00428,FR_LYON_01,2024-08-09,2025-08-09,3904,REJECTED
BAT-0000102,MAT-00375,HU_BUD_01,2023-12-27,2024-06-27,34533,RELEASED
BAT-0000103,MAT-00410,ES_BAR_01,2025-10-13,2027-10-13,6404,QUARANTINE
BAT-0000104,MAT-00168,HU_BUD_01,2023-07-30,2026-07-30,44308,RELEASED
BAT-0000105,MAT-00423,ES_BAR_01,2023-11-03,2024-05-03,28630,REWORK
BAT-0000106,MAT-00124,ES_BAR_01,2023-08-06,2025-08-06,37355,REJECTED
BAT-0000107,MAT-00388,FR_LYON_01,2024-10-10,2025-04-10,25249,RELEASED
BAT-0000108,MAT-00221,HU_BUD_01,2025-01-08,2028-01-08,33662,QUARANTINE
BAT-0000109,MAT-00459,ES_BAR_01,2025-01-07,2025-07-07,29883,RELEASED
BAT-0000110,MAT-00009,ES_BAR_01,2023-09-03,2025-03-03,11282,RELEASED
BAT-0000111,MAT-00091,HU_BUD_01,2025-08-21,2026-02-21,29922,QUARANTINE
BAT-0000112,MAT-00428,FR_LYON_01,2023-08-16,2024-02-16,46623,RELEASED
BAT-0000113,MAT-00287,HU_BUD_01,2024-06-04,2025-06-04,21746,RELEASED
BAT-0000114,MAT-00448,HU_BUD_01,2023-12-02,2026-12-02,39957,RELEASED
BAT-0000115,MAT-00173,ES_BAR_01,2023-12-05,2024-12-05,24503,RELEASED
BAT-0000116,MAT-00237,HU_BUD_01,2023-02-06,2026-02-06,1022,REWORK
BAT-0000117,MAT-00082,FR_LYON_01,2023-06-30,2023-12-30,1707,RELEASED
BAT-0000118,MAT-00470,FR_LYON_01,2025-01-10,2028-01-10,2194,RELEASED
BAT-0000119,MAT-00111,HU_BUD_01,2023-05-21,2026-05-21,9836,RELEASED
BAT-0000120,MAT-00318,HU_BUD_01,2023-01-01,2024-01-01,6063,RELEASED
BAT-0000121,MAT-00286,ES_BAR_01,2025-06-10,2025-12-10,11626,QUARANTINE
BAT-0000122,MAT-00159,ES_BAR_01,2023-03-15,2024-09-15,33894,RELEASED
BAT-0000123,MAT-00190,FR_LYON_01,2023-12-22,2024-06-22,8282,RELEASED
BAT-0000124,MAT-00153,FR_LYON_01,2024-09-02,2026-03-02,38269,RELEASED
BAT-0000125,MAT-00447,ES_BAR_01,2023-08-17,2024-08-17,2089,RELEASED
BAT-0000126,MAT-00111,ES_BAR_01,2023-05-21,2024-05-21,34270,RELEASED
BAT-0000127,MAT-00172,FR_LYON_01,2024-05-16,2024-11-16,32590,QUARANTINE
BAT-0000128,MAT-00128,ES_BAR_01,2024-09-29,2026-03-29,26090,QUARANTINE
BAT-0000129,MAT-00372,HU_BUD_01,2025-10-02,2027-04-02,29659,RELEASED
BAT-0000130,MAT-00061,FR_LYON_01,2025-08-04,2027-08-04,27250,RELEASED
BAT-0000131,MAT-00477,FR_LYON_02,2023-09-03,2025-09-03,8005,RELEASED
BAT-0000132,MAT-00382,ES_BAR_01,2023-10-04,2024-10-04,11572,RELEASED
BAT-0000133,MAT-00040,FR_LYON_01,2023-10-27,2024-04-27,38961,RELEASED
BAT-0000134,MAT-00376,ES_BAR_01,2025-02-23,2026-02-23,20458,RELEASED
BAT-0000135,MAT-00032,FR_LYON_01,2024-03-25,2026-03-25,23652,RELEASED
BAT-0000136,MAT-00428,FR_LYON_02,2024-05-27,2025-05-27,30431,RELEASED
BAT-0000137,MAT-00140,HU_BUD_01,2025-04-17,2025-10-17,21848,RELEASED
BAT-0000138,MAT-00343,FR_LYON_02,2023-05-27,2024-11-27,36087,RELEASED
BAT-0000139,MAT-00257,FR_LYON_01,2023-02-17,2024-08-17,46613,RELEASED
BAT-0000140,MAT-00261,HU_BUD_01,2023-04-06,2024-10-06,39935,REWORK
BAT-0000141,MAT-00470,ES_BAR_01,2025-03-12,2026-03-12,23171,RELEASED
BAT-0000142,MAT-00405,HU_BUD_01,2025-04-16,2028-04-16,2102,QUARANTINE
BAT-0000143,MAT-00006,FR_LYON_02,2023-03-09,2025-03-09,17060,RELEASED
BAT-0000144,MAT-00382,ES_BAR_01,2023-10-16,2025-10-16,42076,RELEASED
BAT-0000145,MAT-00018,HU_BUD_01,2025-10-29,2028-10-29,47576,RELEASED
BAT-0000146,MAT-00418,FR_LYON_01,2025-05-20,2025-11-20,11405,RELEASED
BAT-0000147,MAT-00458,ES_BAR_01,2024-09-15,2025-09-15,5284,RELEASED
BAT-0000148,MAT-00391,ES_BAR_01,2024-02-29,2024-08-29,44754,RELEASED
BAT-0000149,MAT-00038,FR_LYON_01,2025-01-23,2027-01-23,22845,RELEASED
BAT-0000150,MAT-00401,FR_LYON_02,2024-02-26,2024-08-26,3172,RELEASED
BAT-0000151,MAT-00073,ES_BAR_01,2022-12-28,2023-06-28,49327,RELEASED
BAT-0000152,MAT-00483,ES_BAR_01,2024-10-14,2027-10-14,12302,RELEASED
BAT-0000153,MAT-00357,FR_LYON_01,2025-11-14,2028-11-14,35129,RELEASED
BAT-0000154,MAT-00101,ES_BAR_01,2025-08-24,2027-02-24,45097,REWORK
BAT-0000155,MAT-00263,FR_LYON_01,2023-07-29,2025-07-29,9795,RELEASED
BAT-0000156,MAT-00296,FR_LYON_01,2023-06-24,2024-06-24,8150,RELEASED
BAT-0000157,MAT-00271,FR_LYON_01,2023-05-15,2023-11-15,40772,RELEASED
BAT-0000158,MAT-00405,FR_LYON_01,2025-10-15,2026-04-15,35958,RELEASED
BAT-0000159,MAT-00028,ES_BAR_01,2024-12-03,2026-06-03,34056,RELEASED
BAT-0000160,MAT-00110,FR_LYON_01,2023-08-11,2024-08-11,35956,RELEASED
BAT-0000161,MAT-00428,FR_LYON_02,2024-08-11,2026-08-11,24797,RELEASED
BAT-0000162,MAT-00429,ES_BAR_01,2024-05-23,2026-05-23,38958,RELEASED
BAT-0000163,MAT-00142,HU_BUD_01,2023-09-14,2025-03-14,19631,RELEASED
BAT-0000164,MAT-00066,HU_BUD_01,2023-12-17,2024-06-17,7283,RELEASED
BAT-0000165,MAT-00500,ES_BAR_01,2025-09-30,2027-09-30,38513,QUARANTINE
BAT-0000166,MAT-00288,HU_BUD_01,2023-11-18,2024-05-18,21792,RELEASED
BAT-0000167,MAT-00175,FR_LYON_02,2023-07-23,2024-07-23,34278,RELEASED
BAT-0000168,MAT-00388,FR_LYON_01,2024-02-09,2025-08-09,45105,RELEASED
BAT-0000169,MAT-00299,FR_LYON_01,2024-10-30,2027-10-30,8611,RELEASED
BAT-0000170,MAT-00468,HU_BUD_01,2024-01-22,2026-01-22,43164,RELEASED
BAT-0000171,MAT-00046,FR_LYON_02,2025-12-05,2026-06-05,39895,RELEASED
BAT-0000172,MAT-00394,FR_LYON_02,2023-06-14,2023-12-14,31827,RELEASED
BAT-0000173,MAT-00480,FR_LYON_02,2025-10-24,2027-04-24,38834,QUARANTINE
BAT-0000174,MAT-00131,ES_BAR_01,2025-07-02,2026-07-02,2539,RELEASED
BAT-0000175,MAT-00266,FR_LYON_01,2024-05-01,2024-11-01,19331,RELEASED
BAT-0000176,MAT-00431,ES_BAR_01,2024-02-20,2025-08-20,27820,QUARANTINE
BAT-0000177,MAT-00352,HU_BUD_01,2023-06-14,2026-06-14,16522,RELEASED
BAT-0000178,MAT-00046,ES_BAR_01,2025-03-18,2026-09-18,48205,QUARANTINE
BAT-0000179,MAT-00462,ES_BAR_01,2025-10-02,2027-10-02,15838,RELEASED
BAT-0000180,MAT-00288,FR_LYON_02,2025-01-09,2027-01-09,32185,REJECTED
BAT-0000181,MAT-00263,ES_BAR_01,2025-05-22,2027-05-22,3377,RELEASED
BAT-0000182,MAT-00155,HU_BUD_01,2024-11-23,2026-05-23,8290,QUARANTINE
BAT-0000183,MAT-00230,HU_BUD_01,2025-11-02,2027-05-02,48010,RELEASED
BAT-0000184,MAT-00012,ES_BAR_01,2023-06-23,2025-06-23,46070,RELEASED
BAT-0000185,MAT-00414,FR_LYON_02,2024-09-24,2026-09-24,39362,RELEASED
BAT-0000186,MAT-00318,HU_BUD_01,2023-08-26,2026-08-26,17111,RELEASED
BAT-0000187,MAT-00040,ES_BAR_01,2023-02-13,2026-02-13,31526,RELEASED
BAT-0000188,MAT-00002,FR_LYON_01,2024-03-19,2025-09-19,7464,RELEASED
BAT-0000189,MAT-00277,HU_BUD_01,2025-05-23,2026-11-23,32564,RELEASED
BAT-0000190,MAT-00064,FR_LYON_02,2024-09-29,2026-09-29,23950,REJECTED
BAT-0000191,MAT-00162,HU_BUD_01,2023-04-08,2023-10-08,5381,RELEASED
BAT-0000192,MAT-00297,HU_BUD_01,2024-03-21,2025-09-21,15052,RELEASED
BAT-0000193,MAT-00394,FR_LYON_01,2025-07-18,2026-01-18,9397,RELEASED
BAT-0000194,MAT-00476,HU_BUD_01,2023-10-02,2024-04-02,39715,RELEASED
BAT-0000195,MAT-00254,FR_LYON_01,2024-06-15,2025-06-15,17833,RELEASED
BAT-0000196,MAT-00146,ES_BAR_01,2024-09-04,2026-03-04,21823,RELEASED
BAT-0000197,MAT-00328,FR_LYON_02,2025-02-10,2028-02-10,13142,REJECTED
BAT-0000198,MAT-00336,FR_LYON_02,2024-03-06,2026-03-06,21697,QUARANTINE
BAT-0000199,MAT-00017,FR_LYON_01,2025-05-12,2027-05-12,21421,QUARANTINE
BAT-0000200,MAT-00102,FR_LYON_01,2025-07-01,2026-07-01,27821,RELEASED
BAT-0000201,MAT-00248,ES_BAR_01,2023-12-22,2024-12-22,30946,REJECTED
BAT-0000202,MAT-00237,FR_LYON_02,2024-02-26,2025-08-26,31300,RELEASED
BAT-0000203,MAT-00457,FR_LYON_01,2025-10-30,2027-10-30,32435,REJECTED
BAT-0000204,MAT-00359,HU_BUD_01,2023-07-31,2025-07-31,34950,QUARANTINE
BAT-0000205,MAT-00453,ES_BAR_01,2023-12-30,2025-12-30,418,QUARANTINE
BAT-0000206,MAT-00053,HU_BUD_01,2023-05-13,2023-11-13,46032,QUARANTINE
BAT-0000207,MAT-00388,FR_LYON_01,2023-12-10,2025-06-10,18222,QUARANTINE
BAT-0000208,MAT-00211,ES_BAR_01,2024-12-04,2025-12-04,16178,RELEASED
BAT-0000209,MAT-00290,ES_BAR_01,2023-06-03,2025-06-03,49209,RELEASED
BAT-0000210,MAT-00085,ES_BAR_01,2023-10-06,2026-10-06,25606,QUARANTINE
BAT-0000211,MAT-00025,FR_LYON_02,2025-04-03,2026-04-03,48943,RELEASED
BAT-0000212,MAT-00105,FR_LYON_01,2024-10-12,2025-04-12,41673,RELEASED
BAT-0000213,MAT-00496,ES_BAR_01,2024-02-04,2027-02-04,17919,RELEASED
BAT-0000214,MAT-00111,FR_LYON_02,2023-03-02,2026-03-02,18268,RELEASED
BAT-0000215,MAT-00387,HU_BUD_01,2025-06-19,2028-06-19,43449,REWORK
BAT-0000216,MAT-00375,ES_BAR_01,2025-06-26,2026-06-26,23867,RELEASED
BAT-0000217,MAT-00344,ES_BAR_01,2024-10-15,2027-10-15,24281,RELEASED
BAT-0000218,MAT-00058,HU_BUD_01,2024-02-03,2027-02-03,14077,RELEASED
BAT-0000219,MAT-00024,FR_LYON_02,2024-03-05,2025-09-05,37930,RELEASED
BAT-0000220,MAT-00499,ES_BAR_01,2024-11-28,2026-05-28,40993,RELEASED
BAT-0000221,MAT-00396,ES_BAR_01,2025-08-30,2026-08-30,25164,RELEASED
BAT-0000222,MAT-00151,FR_LYON_01,2023-11-01,2026-11-01,12831,RELEASED
BAT-0000223,MAT-00388,FR_LYON_01,2023-02-13,2026-02-13,49501,RELEASED
BAT-0000224,MAT-00291,FR_LYON_02,2025-02-27,2025-08-27,16476,RELEASED
BAT-0000225,MAT-00227,FR_LYON_01,2024-05-24,2026-05-24,45256,RELEASED
BAT-0000226,MAT-00439,FR_LYON_02,2024-03-04,2027-03-04,32639,RELEASED
BAT-0000227,MAT-00406,FR_LYON_02,2024-11-27,2025-11-27,3180,RELEASED
BAT-0000228,MAT-00254,FR_LYON_02,2025-05-20,2027-05-20,9194,RELEASED
BAT-0000229,MAT-00269,ES_BAR_01,2025-04-11,2028-04-11,47202,REJECTED
BAT-0000230,MAT-00066,FR_LYON_01,2025-04-27,2028-04-27,3527,RELEASED
BAT-0000231,MAT-00473,HU_BUD_01,2025-01-03,2026-01-03,49464,QUARANTINE
BAT-0000232,MAT-00331,FR_LYON_01,2024-12-27,2027-12-27,1316,REJECTED
BAT-0000233,MAT-00118,FR_LYON_02,2024-11-29,2025-05-29,14779,RELEASED
BAT-0000234,MAT-00451,HU_BUD_01,2023-10-04,2025-04-04,32625,QUARANTINE
BAT-0000235,MAT-00189,FR_LYON_01,2024-11-07,2026-11-07,19854,RELEASED
BAT-0000236,MAT-00270,FR_LYON_02,2023-06-02,2026-06-02,45765,RELEASED
BAT-0000237,MAT-00328,HU_BUD_01,2022-12-26,2023-12-26,24794,RELEASED
BAT-0000238,MAT-00437,ES_BAR_01,2024-01-23,2026-01-23,49508,RELEASED
BAT-0000239,MAT-00365,FR_LYON_01,2025-01-11,2027-01-11,44500,RELEASED
BAT-0000240,MAT-00198,HU_BUD_01,2023-08-26,2025-02-26,15504,QUARANTINE
BAT-0000241,MAT-00393,HU_BUD_01,2024-03-05,2024-09-05,26728,REWORK
BAT-0000242,MAT-00283,FR_LYON_01,2024-05-02,2027-05-02,40209,RELEASED
BAT-0000243,MAT-00304,HU_BUD_01,2024-07-09,2026-01-09,30759,REWORK
BAT-0000244,MAT-00061,ES_BAR_01,2023-09-19,2025-09-19,22459,REJECTED
BAT-0000245,MAT-00312,FR_LYON_02,2024-03-11,2025-09-11,4438,RELEASED
BAT-0000246,MAT-00424,FR_LYON_01,2025-01-16,2026-01-16,2016,RELEASED
BAT-0000247,MAT-00198,FR_LYON_02,2023-11-23,2025-05-23,16136,QUARANTINE
BAT-0000248,MAT-00189,FR_LYON_01,2024-04-26,2024-10-26,45769,RELEASED
BAT-0000249,MAT-00475,ES_BAR_01,2024-06-18,2027-06-18,24761,QUARANTINE
BAT-0000250,MAT-00069,ES_BAR_01,2023-10-29,2025-10-29,6070,RELEASED
BAT-0000251,MAT-00082,HU_BUD_01,2024-06-01,2026-06-01,18807,RELEASED
BAT-0000252,MAT-00279,ES_BAR_01,2024-11-22,2025-11-22,31494,QUARANTINE
BAT-0000253,MAT-00306,HU_BUD_01,2023-12-16,2024-06-16,44697,RELEASED
BAT-0000254,MAT-00282,HU_BUD_01,2025-04-14,2028-04-14,14630,RELEASED
BAT-0000255,MAT-00212,HU_BUD_01,2023-01-04,2025-01-04,26177,RELEASED
BAT-0000256,MAT-00143,HU_BUD_01,2025-01-15,2025-07-15,18203,RELEASED
BAT-0000257,MAT-00197,FR_LYON_02,2023-04-24,2024-04-24,40955,RELEASED
BAT-0000258,MAT-00241,ES_BAR_01,2023-10-25,2026-10-25,23309,QUARANTINE
BAT-0000259,MAT-00173,ES_BAR_01,2023-12-17,2024-12-17,49256,RELEASED
BAT-0000260,MAT-00283,HU_BUD_01,2024-09-22,2025-03-22,1803,RELEASED
BAT-0000261,MAT-00416,ES_BAR_01,2024-10-20,2026-10-20,30961,RELEASED
BAT-0000262,MAT-00024,FR_LYON_01,2023-04-04,2025-04-04,30374,RELEASED
BAT-0000263,MAT-00058,FR_LYON_01,2025-06-09,2027-06-09,12695,REJECTED
BAT-0000264,MAT-00155,FR_LYON_01,2025-07-19,2026-07-19,5820,QUARANTINE
BAT-0000265,MAT-00463,FR_LYON_01,2024-01-13,2026-01-13,25595,RELEASED
BAT-0000266,MAT-00473,HU_BUD_01,2024-10-13,2027-10-13,41512,QUARANTINE
BAT-0000267,MAT-00010,FR_LYON_01,2023-12-10,2026-12-10,40989,RELEASED
BAT-0000268,MAT-00404,ES_BAR_01,2023-03-07,2024-09-07,40714,REWORK
BAT-0000269,MAT-00383,FR_LYON_02,2024-03-23,2027-03-23,31130,REJECTED
BAT-0000270,MAT-00110,HU_BUD_01,2022-12-14,2025-12-14,18368,QUARANTINE
BAT-0000271,MAT-00420,HU_BUD_01,2025-12-05,2027-06-05,29547,RELEASED
BAT-0000272,MAT-00018,FR_LYON_02,2024-01-04,2027-01-04,3666,RELEASED
BAT-0000273,MAT-00430,HU_BUD_01,2025-11-10,2027-11-10,13598,REJECTED
BAT-0000274,MAT-00370,ES_BAR_01,2024-05-26,2024-11-26,30087,RELEASED
BAT-0000275,MAT-00169,FR_LYON_02,2024-03-18,2026-03-18,29452,RELEASED
BAT-0000276,MAT-00363,FR_LYON_02,2023-11-18,2024-05-18,292,REJECTED
BAT-0000277,MAT-00331,FR_LYON_02,2023-09-13,2025-03-13,39664,REJECTED
BAT-0000278,MAT-00260,FR_LYON_01,2023-02-11,2024-02-11,14475,RELEASED
BAT-0000279,MAT-00447,FR_LYON_01,2023-05-30,2023-11-30,41254,QUARANTINE
BAT-0000280,MAT-00342,FR_LYON_02,2025-02-19,2026-08-19,26405,RELEASED
BAT-0000281,MAT-00138,ES_BAR_01,2025-01-28,2026-01-28,21795,QUARANTINE
BAT-0000282,MAT-00073,FR_LYON_01,2025-01-16,2027-01-16,13246,RELEASED
BAT-0000283,MAT-00324,FR_LYON_01,2025-12-09,2026-06-09,45488,RELEASED
BAT-0000284,MAT-00431,FR_LYON_01,2025-03-18,2027-03-18,49694,QUARANTINE
BAT-0000285,MAT-00111,FR_LYON_02,2024-11-13,2026-05-13,3018,RELEASED
BAT-0000286,MAT-00461,FR_LYON_02,2023-12-22,2025-12-22,46366,RELEASED
BAT-0000287,MAT-00443,FR_LYON_02,2023-02-15,2024-02-15,28095,RELEASED
BAT-0000288,MAT-00271,FR_LYON_01,2025-05-19,2026-05-19,22324,RELEASED
BAT-0000289,MAT-00236,FR_LYON_02,2024-06-24,2026-06-24,38685,RELEASED
BAT-0000290,MAT-00169,HU_BUD_01,2023-08-28,2025-08-28,33952,RELEASED
BAT-0000291,MAT-00206,HU_BUD_01,2024-11-30,2026-05-30,35677,RELEASED
BAT-0000292,MAT-00373,ES_BAR_01,2024-09-18,2026-09-18,9123,RELEASED
BAT-0000293,MAT-00440,FR_LYON_02,2025-03-06,2026-03-06,16142,RELEASED
BAT-0000294,MAT-00093,FR_LYON_01,2024-07-19,2026-07-19,15544,RELEASED
